nama;tgl;judul;image;link
kompas.com;2022-09-27 22:27:00;Istri Gubernur Akui Angka Stunting di Maluku Tinggi, Ini Penyebabnya;https://asset.kompas.com/crops/DXYTaHPbRt2ZB9eesf6JMeaenbU=/0x0:0x0/230x153/data/photo/2020/01/28/5e3011e5aec22.jpg;http://regional.kompas.com/read/2020/01/28/22273581/istri-gubernur-akui-angka-stunting-di-maluku-tinggi-ini-penyebabnya
kompas.com;2022-09-27 22:26:00;Menkes: Pencegahan Stunting Tetap Prioritas Saat Pandemi Covid-19;https://asset.kompas.com/crops/wDtAqdT5-_KLOKeyxGzZjm_KFzI=/0x0:0x0/230x153/data/photo/2020/02/15/5e47c12bb9f97.jpg;http://nasional.kompas.com/read/2020/08/05/22261471/menkes-pencegahan-stunting-tetap-prioritas-saat-pandemi-covid-19
kompas.com;2022-09-27 22:19:00;Garut Berstatus Merah, Daerah dengan Angka Stunting Tertinggi di Jabar;https://asset.kompas.com/crops/gOqPQ2KtKk2ij00TVjdzugS9rEs=/0x53:1600x1119/230x153/data/photo/2022/08/14/62f9113ec0fc1.jpeg;http://regional.kompas.com/read/2022/08/14/221938178/garut-berstatus-merah-daerah-dengan-angka-stunting-tertinggi-di-jabar
kompas.com;2022-09-27 22:12:00;Ma'ruf Pertanyakan Program Sedekah Putih untuk Cegah Stunting, Ini Jawaban Sandiaga;https://asset.kompas.com/crops/evZvvbzCNpwo2uGnOZDqF9PWkJc=/0x0:1279x853/230x153/data/photo/2019/03/17/737150358.jpeg;http://nasional.kompas.com/read/2019/03/17/22120391/maruf-pertanyakan-program-sedekah-putih-untuk-cegah-stunting-ini-jawaban
kompas.com;2022-09-27 22:10:00;"""Satu Butir Telur Itu Ekuivalen dengan Dua Batang Rokok..."" ";https://asset.kompas.com/crops/gU1Ku-B5_kHOkwG7qwhbdYtU7bY=/0x24:965x667/230x153/data/photo/2017/10/12/2170183750.jpg;http://money.kompas.com/read/2020/11/11/221000926/-satu-butir-telur-itu-ekuivalen-dengan-dua-batang-rokok--
kompas.com;2022-09-27 22:00:00;Bocah 3 Tahun Disiksa Orangtua Selama 2 Tahun, Alami Stunting karena Hanya Diberi Makan Mi Mentah;https://asset.kompas.com/crops/58CNGEhAIJaz6oXa-APNtJFfzPY=/0x0:0x0/230x153/data/photo/2021/12/10/61b324f6062dd.jpg;http://regional.kompas.com/read/2022/04/24/220000878/bocah-3-tahun-disiksa-orangtua-selama-2-tahun-alami-stunting-karena-hanya
kompas.com;2022-09-27 21:57:00;Tekan Angka Stunting di Ponorogo, Menko PMK Minta Tradisi Pernikahan Sedarah Dihentikan;https://asset.kompas.com/crops/iIl_JiGFV5br34SMDBSPbe-c7Yk=/0x0:0x0/230x153/data/photo/2022/04/04/624b002625c9e.jpg;http://surabaya.kompas.com/read/2022/04/04/215707478/tekan-angka-stunting-di-ponorogo-menko-pmk-minta-tradisi-pernikahan-sedarah
kompas.com;2022-09-27 21:54:00;Menko PMK Ungkap Kampung KB Bisa Tanggulangi Masalah Stunting;https://asset.kompas.com/crops/7Slri9cm9tyCZOXHSskgQst95-4=/0x0:1000x500/230x153/data/photo/2018/11/06/3945383503.jpeg;http://biz.kompas.com/read/2018/11/06/215416028/menko-pmk-ungkap-kampung-kb-bisa-tanggulangi-masalah-stunting
kompas.com;2022-09-27 21:53:00;Angka Stunting di NTT Tinggi, 15 Kabupaten Masuk Kategori Merah;https://asset.kompas.com/crops/98jtfpn8M-NQXiiOZBD6DqRsYqk=/0x0:1000x667/230x153/data/photo/2021/03/17/60515a7d038df.jpg;http://regional.kompas.com/read/2022/03/03/215319778/angka-stunting-di-ntt-tinggi-15-kabupaten-masuk-kategori-merah
kompas.com;2022-09-27 21:47:00;Cegah Stunting, Tanoto Foundation Kembangkan Program Pengasuhan Anak Usia Dini;https://asset.kompas.com/crops/2as4QAFKsgkNVVuAUeMRvFmCgX8=/0x0:780x520/230x153/data/photo/2020/07/19/5f145c9d6b126.jpg;http://biz.kompas.com/read/2020/07/19/214705828/cegah-stunting-tanoto-foundation-kembangkan-program-pengasuhan-anak-usia-dini
kompas.com;2022-09-27 21:37:00;Soal Stunting, AIMI Sebut Pembagian Asupan Tambahan Tidak Efektif;https://asset.kompas.com/crops/rqW-QoP9CdxTNibhnyjYgXezSko=/41x0:1000x639/230x153/data/photo/2018/05/09/2147102012.jpg;http://sains.kompas.com/read/2019/03/28/213711623/soal-stunting-aimi-sebut-pembagian-asupan-tambahan-tidak-efektif
kompas.com;2022-09-27 21:35:00;3 Fokus Pemerintah Turunkan Angka Stunting;https://asset.kompas.com/crops/qQzdyG2b0b0P6BO4QfF50VSCxdc=/0x0:0x0/230x153/data/photo/2019/12/20/5dfc82025df34.jpg;http://money.kompas.com/read/2019/12/20/213500526/3-fokus-pemerintah-turunkan-angka-stunting
kompas.com;2022-09-27 21:33:00;"6.200 Balita di Gunung Kidul Alami ""Stunting""";https://asset.kompas.com/crops/bXx3TKLZ6JALxQTf5H9p7GHImmg=/0x0:780x390/230x153/data/photo/2014/05/07/2157470anak22780x390.jpg;http://regional.kompas.com/read/2018/03/14/21331021/6200-balita-di-gunung-kidul-alami-stunting
kompas.com;2022-09-27 21:31:00;Selain Orangtua, Sekolah Juga Punya Peran Edukasi pada Pola Makan Anak;https://asset.kompas.com/crops/hH4rqnyqIKEs4iFDATxyncAYJ_w=/10x14:990x667/230x153/data/photo/2018/02/20/960861925.jpg;http://lifestyle.kompas.com/read/2019/12/11/213158120/selain-orangtua-sekolah-juga-punya-peran-edukasi-pada-pola-makan-anak
kompas.com;2022-09-27 21:27:00;"Gerakan ""Emas"" Prabowo-Sandiaga Ingin Cegah Stunting yang Mengancam Bonus Demografi";https://asset.kompas.com/crops/E_DYPgD0we7enjNwcx0QTynnDvI=/177x0:853x450/230x153/data/photo/2018/10/24/1447800867.jpg;http://nasional.kompas.com/read/2018/10/24/21270551/gerakan-emas-prabowo-sandiaga-ingin-cegah-stunting-yang-mengancam-bonus
